paper_id,Paper,Year,Category,Link,local_file,pages_sections,review_status,delta_category,Cancer_cohort,N,Assay,Input_datatype,Ground_truth_HRD_definition,HRD_calculation_method,LOH_definition,LST_definition,TAI_definition,Upstream_allele_specific_CN_method,Purity_ploidy_correction,CNV_method,Methylation_preprocessing,Raw_IDAT_MU_requirement,RNA_preprocessing,Model_class,Feature_selection,Training_strategy,Validation_strategy,Cross_validation_design,External_validation,Performance_metrics,Calibration_uncertainty,Single_sample_compatible,Cross_cancer_compatible,Code_software,Synthetic_data_relevance,Major_strengths,Major_limitations,Direct_relevance_KIDS26,Implementation_ideas,documented_fact,inference,recommendation
L32,BRCA1 promoter methylation is a marker of better response to platinum-taxane-based therapy in sporadic epithelial ovarian cancer.,2014,Methylation / BRCA1,https://pubmed.ncbi.nlm.nih.gov/24825122/,../papers/2014_BRCA1_promoter_methylation_is_a_marker_of_better_response_to_platinum_taxane_bas.pdf,pp. 1-3,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Sporadic ovarian,42 discovery;137 validation,Methylation-specific PCR,Not established in reviewed material,"Treatment/recurrence association, no canonical sum",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Promoter biology,Not established in reviewed material,BRCA1 methylation investigated in two ovarian cohorts receiving platinum/taxane.,Promoter positivity is assay-specific.,Mechanistic context only.
L33,Methylation of all BRCA1 copies predicts response to the PARP inhibitor rucaparib in ovarian carcinoma.,2018,Methylation / PARP,https://pubmed.ncbi.nlm.nih.gov/30266954/,../papers/2018_Methylation_of_all_BRCA1_copies_predicts_response_to_the_PARP_inhibitor_rucapari.pdf,"pp. 7,11-13",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,HGSOC PDX/ARIEL2,21 methylated cases among 204 trial patients; analyzable subsets differ,"MS-ddPCR, CN, RNA-seq, PDX",Not established in reviewed material,Methylation zygosity and rucaparib response,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Methylated fraction adjusted for purity and BRCA1 copy number,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Purity and mechanisms,Not established in reviewed material,Methylation of all BRCA1 copies and current biopsy status matter; low purity can prevent zygosity inference.,A promoter beta cutoff ignores dosage/purity.,Do not use BRCA1 beta positivity as ground truth.
L34,Acquired RAD51C Promoter Methylation Loss Causes PARP Inhibitor Resistance in High-Grade Serous Ovarian Carcinoma.,2021,Methylation / PARP,https://pubmed.ncbi.nlm.nih.gov/34321239/,../papers/2021_Acquired_RAD51C_Promoter_Methylation_Loss_Causes_PARP_Inhibitor_Resistance_in_Hi.pdf,"pp. 3,24-25",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,HGSC PDX and patients,12 patients in methylated cohort; experimental lineages are not independent patients,"Methylation, expression, PDX drug response",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Temporal and lineage confounding,Not established in reviewed material,RAD51C methylation loss accompanied restored expression and resistance; scars reflected HRD history.,Derived models can evolve repair phenotypes.,Group lineages; prioritize patient tumors for external testing.
L35,High-level tumour methylation of BRCA1 and RAD51C is required for homologous recombination deficiency in solid cancers.,2024,Methylation / pan-cancer,https://pubmed.ncbi.nlm.nih.gov/39055334/,../papers/2024_High_level_tumour_methylation_of_BRCA1_and_RAD51C_is_required_for_homologous_rec.pdf,pp. 1-3,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,23 solid cancer types,7619 analyzed primary cancers; assay-specific source counts differ,"450K,RNA,allelic CN;ICGC OV",Not established in reviewed material,Genomic HRD features and methylation with LOH,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Major transfer risk,Not established in reviewed material,High-level BRCA1/RAD51C methylation with LOH relates to HRD; lower-level RAD51C methylation in LGG/stomach is often associated with CIMP instead.,CNS hypermethylation can confound adult HRD predictors.,Stratify errors by subtype and purity; do not equate hypermethylation with HRD.
L36,Circulating HOXA9-methylated tumour DNA: A novel biomarker of response to poly (ADP-ribose) polymerase inhibition in BRCA-mutated epithelial ovarian cancer.,2019,Methylation / ctDNA,https://pubmed.ncbi.nlm.nih.gov/31865042/,../papers/1-s2.0-S0959804919308317-main.pdf,Methods pp. 3-5; Results pp. 5-8,Newly available 2026-09-10; full relevant methods/results reviewed,INTERESTING BUT NOT HACKATHON-CRITICAL,BRCA1/2-mutated ovarian cancer receiving veliparib,32 patients; serial plasma samples,Bisulfite-converted plasma DNA; HOXA9 methylation droplet digital PCR normalized to albumin,Serial methylated circulating tumor DNA measurements,Germline or somatic BRCA1/2 mutation and clinical endpoints; no HRDsum target,Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent,Bisulfite conversion and locus-specific methylation ddPCR; no array preprocessing,Absent from reviewed paper or not reported,Not established in reviewed material,Longitudinal biomarker/prognostic association,Single prespecified HOXA9 methylation marker,No genome-wide predictive training,Within-cohort response and survival associations,Absent,Absent,Clinical response and survival associations; no HRDsum prediction metric,Absent from reviewed paper or not reported,"Sample-level assay, but not methylation-array HRDsum inference",Not tested,Not identified,Not established in reviewed material,Longitudinal liquid-biopsy sampling in a defined BRCA-mutated cohort,"Small cohort, one locus, no continuous genomic HRD target, no external validation","Supports optional dynamic biomarkers, not the primary array-to-HRDsum architecture",Not established in reviewed material,HOXA9 methylated ctDNA was measured by bisulfite ddPCR in 32 BRCA1/2-mutated ovarian cancer patients treated with veliparib.,A treatment-monitoring methylation locus cannot establish that methylation arrays calculate canonical HRDsum.,Do not alter the hackathon model family based on this study.
L37,Extensive epigenomic dysregulation is a hallmark of homologous recombination deficiency in triple-negative breast cancer.,2024,Methylation / HRD,https://pubmed.ncbi.nlm.nih.gov/39635770/,../papers/2024_Extensive_epigenomic_dysregulation_is_a_hallmark_of_homologous_recombination_def.pdf,"pp. 4-7,10-12",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,TNBC cohorts and TCGA TNBC application,32 + 58 specimens (55 unique subjects in second cohort);113 TCGA application,EPIC;MLPA P376-BRCAness,CpG beta values,MLPA pamr probability; binary >0.5,Not canonical LOH+LST+TAI,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,conumee 1.6.0;CopyNumber450kCancer,Separate minfi/ENmix cohort processing; different FFPE detection criteria,Not established in reviewed material,Not established in reviewed material,Supervised regression; exact optimized model in unavailable Supplemental Procedures,EWAS described; model-specific nesting not established in main text,Not established in reviewed material,Not established in reviewed material,Requires unavailable supplement,113 TCGA TNBC; genomic correlates and survival,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Small/repeated-subject cohort; different target,Closest local precedent,Not established in reviewed material,"Predicts MLPA BRCAness probability from methylation, not canonical HRDsum. Two biological cohorts support the association; model details are referred to the supplement.","Supports plausibility, not validated adult-pan-cancer-to-pediatric regression.",Obtain supplement before reproducing its tuning; independently implement nested baseline.
L38,Development and validation of an epigenetic score for homologous recombination deficiency based on genome-wide DNA methylation profiling in ovarian cancer.,2026,Methylation / HRD,https://www.sciencedirect.com/science/article/pii/S2452014426002013,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Methylation / HRD,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L39,Clinical Relevance of BRCA1 Promoter Methylation Testing in Patients with Ovarian Cancer.,2023,Methylation / clinical,https://pubmed.ncbi.nlm.nih.gov/37067532/,../papers/3124.pdf,Methods pp. 3-5; Results pp. 5-8,Newly available 2026-09-10; full relevant methods/results reviewed,REFINES CURRENT PLAN,Ovarian carcinoma,100 tumors; 79 BRCA-wild-type tumors in the reported methylation/GIS subset,BRCA1 promoter methylation assay and Myriad myChoice genomic instability testing,Tumor BRCA1 promoter methylation plus commercial genomic instability score,myChoice genomic instability score and BRCA status,Commercial GIS used; component algorithm not reimplemented,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reported methylation method,Locus-specific BRCA1 methylation; high methylation defined at 70% or greater,Absent from reviewed paper or not reported,Not established in reviewed material,Thresholded biomarker association,Prespecified BRCA1 promoter,Retrospective association; no genome-wide training,Internal comparison with BRCA/GIS categories,Absent,Absent,15/79 BRCA-wild-type tumors had high BRCA1 methylation and all were GIS-positive; 11/79 had low methylation and all were GIS-positive,Absent from reviewed paper or not reported,Locus assay is sample-level; threshold transfer is unestablished,Not tested,Not identified,Not established in reviewed material,Direct comparison of BRCA1 methylation with an established genomic scar assay,Retrospective single-cancer cohort; GIS positivity spans methylation strata; no calibrated continuous predictor,Retain promoter methylation as interpretable annotation while keeping genome-wide continuous HRDsum prediction primary,Not established in reviewed material,High and low BRCA1 methylation strata were compared with myChoice GIS in ovarian tumors.,Promoter methylation can mark an HRD mechanism but is not a sufficient universal HRDsum surrogate.,"Report BRCA1/RAD51C promoter features as annotations or secondary features, not the sole target definition."
L40,BRCA1 promoter methylation predicts PARPi response in ovarian cancer: insights from the KOMET study.,2025,Methylation / clinical,https://pubmed.ncbi.nlm.nih.gov/40775791/,../papers/2025_BRCA1_promoter_methylation_predicts_PARPi_response_in_ovarian_cancer_insights_fr.pdf,"pp. 1,3,5",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,KOMET single-center ovarian,88,MS-HRM,Not established in reviewed material,Promoter methylation and clinical PFS/OS,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Clinical context,Not established in reviewed material,"Retrospective study relates BRCA1 methylation to outcome, with missing GIS and treatment selection.",Not validation of a methylation-wide continuous score.,Biological context only.
L41,A Novel Droplet Digital PCR Assay for BRCA1 and RAD51C Methylation: Advancing Homologous Recombination Deficiency Detection in Ovarian Cancer.,2025,Methylation / methods,https://pubmed.ncbi.nlm.nih.gov/40783114/,../papers/2025_A_Novel_Droplet_Digital_PCR_Assay_for_BRCA1_and_RAD51C_Methylation_Advancing_Hom.pdf,p. 1,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Ovarian,224 included;194 HR status assessed,Enzymatic ddPCR;SOPHiA DDM,Not established in reviewed material,"GII>0, not GIS42",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Label heterogeneity,Not established in reviewed material,Assesses promoter methylation against commercial GII-based HRD.,Commercial scales cannot be pooled numerically.,Store assay-specific targets separately.
L42,CopyNumber450kCancer: baseline correction for accurate copy number calling from the 450k methylation array.,2016,Methylation / CNV,https://pubmed.ncbi.nlm.nih.gov/26553913/,../papers/2016_CopyNumber450kCancer_baseline_correction_for_accurate_copy_number_calling_from_the_.pdf,pp. 1-2,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,ALL,764,450K,Segment log-ratio and probe counts,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Maximum density peak baseline correction,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,740/764 (96.9%) correctly auto-corrected vs manual karyotype review,Not established in reviewed material,"Yes, sometimes manual revision",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Information boundary,Not established in reviewed material,Explicitly notes lack of SNP-array B-allele frequency; this is a baseline correction method.,Label-visible manual correction can leak reference information.,Locked baseline/QC; blind to HRD outcomes.
L43,MethPed: a DNA methylation classifier tool for the identification of pediatric brain tumor subtypes.,2015,Pediatric methylation classifiers,https://pubmed.ncbi.nlm.nih.gov/26157508/,../papers/2015_MethPed_a_DNA_methylation_classifier_tool_for_the_identification_of_pediatric_br.pdf,"pp. 1-2,8",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Nine pediatric brain subgroups,472 training;18 local validation;28 PNET application,450K,Not established in reviewed material,"Subtype,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,"Random forest,900 trees","100 probes/class,900 total",Not established in reviewed material,Not established in reviewed material,Ten-fold repeated five times; OOB reporting also described,Not established in reviewed material,Kappa 0.98 reported,Not established in reviewed material,"Yes,saved forest",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Single-sample architecture,Not established in reviewed material,MethPed provides saved-forest single-sample classification of pediatric tumor types.,Subtype signal is both useful and a potential HRD confounder; nesting must be independently enforced.,"Borrow frozen inference, not accuracy expectations."
L44,DNA methylation-based classification of central nervous system tumours.,2018,Pediatric methylation classifiers,https://pubmed.ncbi.nlm.nih.gov/29539639/,../papers/nihms-942946.pdf,Methods pp. 18-28; Results pp. 5-12; extended methods/tables pp. 29-45,Newly available 2026-09-10; full relevant methods/results reviewed,REFINES CURRENT PLAN,Central nervous system tumors spanning 91 methylation classes,"2,801 reference tumors; 1,155 prospective diagnostic cases",Illumina 450K and EPIC methylation arrays,Raw IDAT intensities converted to beta values; methylation-derived CN ancillary,"Expert-integrated CNS tumor class, not HRDsum",Absent,Absent; diagnostic classifier study,Absent,Absent,Absent; conumee total CN is ancillary,No allele-specific HRD purity/ploidy correction reported,conumee using 50 male and 50 female controls,"Per-sample minfi background/dye correction; removed sex, common-SNP-proximate, nonunique hg19, and non-EPIC probes; 428,799 retained; FFPE/frozen adjustment",Raw IDAT intensities required for the reported minfi/conumee workflow,Not established in reviewed material,"Random forest with 10,000 trees plus multinomial-logistic calibration",Deterministic platform/QC mask before classifier training,Large multicenter reference cohort; calibrated class scores,Cross-validation and prospective diagnostic series,Cross-validation error 4.28%; classwise receiver-operating analysis,"Prospective 1,155-case clinical series",Cross-validation error 4.28%; mean class AUC approximately 0.99,Multinomial-logistic calibration of class scores; no KIDS26 HRD interval,Yes; per-sample preprocessing and calibrated reference classifier,"Broad CNS classes, but diagnostic rather than HRD regression",minfi and conumee,Not established in reviewed material,"Large cohort, prospective use, explicit cross-platform mask, calibration, single-sample workflow",Diagnostic classification differs from continuous cross-cancer HRD regression,"Strong precedent for frozen 450K/EPIC masks, sample-level preprocessing, calibration, and abstention-aware deployment","Version the probe mask, store annotation hashes, avoid cohort refitting for incoming samples, and keep conumee ancillary","The classifier removed 11,551 sex-chromosome, 7,998 common-SNP-proximate, 3,965 nonunique hg19, and 32,260 non-EPIC probes, retaining 428,799.","Cross-platform compatibility is feasible with a frozen mask, but classification performance does not prove HRDsum transfer.",Adopt deterministic bridge provenance and single-sample preprocessing while retaining cancer-held-out HRD validation.
L45,Practical implementation of DNA methylation and copy-number-based CNS tumor diagnostics: the Heidelberg experience.,2018,Pediatric methylation classifiers,https://pubmed.ncbi.nlm.nih.gov/29967940/,../papers/2018_Practical_implementation_of_DNA_methylation_and_copy_number_based_CNS_tumor_diag.pdf,p. 1; diagnostic workflow sections,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Heidelberg/Mannheim and referrals,>1000 local plus >1000 referred,Methylation and CN arrays,Not established in reviewed material,"CNS diagnosis,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Integrated diagnostic workflow,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Report design,Not established in reviewed material,"Integrates methylation, CN profiles and morphology for CNS diagnostics.",CN corroboration does not validate HRD.,Show assay QC and applicability with predictions.
L46,"Methylation classifiers: Brain tumors, sarcomas, and what's next.",2022,Pediatric methylation classifiers,https://pubmed.ncbi.nlm.nih.gov/35388566/,../papers/Genes Chromosomes   Cancer - 2022 - Koelsche - Methylation classifiers  Brain tumors  sarcomas  and what s next.pdf,Methods overview and cross-platform recommendations throughout,Newly available 2026-09-10; methods-relevant sections reviewed,CONFIRMS CURRENT PLAN,Review of sarcoma methylation classification,Review; no single original training N,Illumina 450K and EPIC arrays,Shared-array beta values and methylation-derived CN profiles,Tumor diagnosis; no HRDsum,Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Methylation-array CN profiles discussed as diagnostic adjuncts,"Shared 450K/EPIC probes; exclude sex-chromosome, SNP-proximate, and nonunique hg19 probes, leaving about 420,000 before model selection",Raw IDAT is typical for the reviewed diagnostic workflow; exact requirements vary by implementation,Not established in reviewed material,Review of classifier approaches,Class-discriminating selection after compatibility filtering,Not applicable,Summarizes diagnostic validation literature,Absent as a new analysis,Absent as a new analysis,Not applicable,Absent from reviewed paper or not reported,Discussed in diagnostic context,Not an HRD transfer study,No new software contribution,Not established in reviewed material,Clear practical cross-platform filtering precedent,Narrative review and diagnostic endpoint,Confirms deterministic 450K/EPIC bridging before supervised selection,Not established in reviewed material,"The review describes restricting analysis to shared 450K/EPIC probes and removing sex-linked, SNP-proximate, and nonunique probes.",The same platform-compatibility principles are appropriate for KIDS26 with exact manifests.,Use a versioned shared autosomal general-mask list and record annotation hashes.
L47,Advances in the classification of pediatric brain tumors through DNA methylation profiling: From research tool to frontline diagnostic.,2018,Pediatric methylation classifiers,https://pubmed.ncbi.nlm.nih.gov/30255939/,../papers/Cancer - 2018 - Kumar - Advances in the classification of pediatric brain tumors through DNA methylation profiling  From.pdf,Review sections on molecular targets and pediatric glioma biology,Newly available 2026-09-10; relevance review completed,INTERESTING BUT NOT HACKATHON-CRITICAL,Review of pediatric gliomas,Review,Multiple molecular assays across cited studies,Narrative molecular and therapeutic evidence,Absent,Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Not a primary method,Absent,Absent from reviewed paper or not reported,Not established in reviewed material,Narrative review,Absent,Absent,Absent,Absent,Absent,Absent,Absent from reviewed paper or not reported,Not applicable,Not tested,Absent,Not established in reviewed material,Pediatric disease context,No methylation-to-HRD model or HRDsum method,Supports pediatric interpretation but does not change the computational architecture,Not established in reviewed material,The paper reviews targeted therapies and molecular subgroups in pediatric glioma.,Disease context supplies no evidence for substituting a pediatric classifier for HRD regression.,Use only for disease-context framing.
L48,"Molecular Classification of Ependymal Tumors across All CNS Compartments, Histopathological Grades, and Age Groups.",2015,Pediatric methylation,https://pubmed.ncbi.nlm.nih.gov/25965575/,../papers/nihms-745680.pdf,Methods pp. 15-20; Results pp. 5-12,Newly available 2026-09-10; full relevant methods/results reviewed,CONFIRMS CURRENT PLAN,Ependymal tumors across anatomic sites,500 tumors,Illumina HumanMethylation450 arrays,Genome-wide methylation beta values,"Molecular ependymoma subgroup, not HRDsum",Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Methylation-derived CN profiles used descriptively,"Unsupervised analysis on the 10,000 most variable probes",Absent from reviewed paper or not reported,Not established in reviewed material,Unsupervised consensus clustering,"Top 10,000 probes by standard deviation",Unsupervised discovery of molecular subgroups,Resampling stability and molecular/clinical associations,"Bootstrap/consensus stability, not predictive cross-validation",No independent external HRD cohort,Reported cluster stability approximately 0.999,Absent from reviewed paper or not reported,No frozen single-sample predictor,No,Public data reported; no KIDS26-ready predictor,Not established in reviewed material,Large rare-CNS cohort and stable methylation structure,"Unsupervised diagnosis study, no HRD target, no frozen n-of-1 inference",Reinforces that lineage dominates methylation and must be controlled in HRD validation,Not established in reviewed material,"Consensus clustering of the 10,000 most variable CpGs separated ependymal molecular groups in 500 tumors.",A pooled methylation-HRD model could learn lineage unless cancer-aware validation is enforced.,Retain leave-one-cancer-type-out evaluation and lineage-aware PBTP grouping.
L49,Hotspot mutations in H3F3A and IDH1 define distinct epigenetic and biological subgroups of glioblastoma.,2012,Pediatric methylation,https://pubmed.ncbi.nlm.nih.gov/23079654/,../papers/1-s2.0-S1535610812003649-main.pdf,Methods pp. 10-14; Results pp. 3-8,Newly available 2026-09-10; full relevant methods/results reviewed,CONFIRMS CURRENT PLAN,Adult glioblastoma with IDH1 and H3F3A molecular subgroups,136 local plus 74 TCGA tumors; total 210,Illumina HumanMethylation450 arrays,Genome-wide methylation beta values,"Molecular glioblastoma subgroup, not HRDsum",Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,CN alterations inferred from methylation-array intensity,"Removed 11,551 sex-chromosome, 24,536 dbSNP132-proximate, and 9,993 nonunique probes; 438,370 retained",Absent from reviewed paper or not reported,Not established in reviewed material,Unsupervised consensus clustering,"8,000 most variable retained probes",Joint discovery analysis,Molecular/clinical concordance; TCGA included in combined analysis,No supervised nested cross-validation,No fully independent frozen-model validation,"Cluster/subgroup associations, not HRD prediction metrics",Absent from reviewed paper or not reported,No,No,Standard methylation clustering tools,Not established in reviewed material,Biologically coherent glioma groups and explicit probe filtering,Discovery clustering; TCGA is not an untouched external set,Confirms strong CNS lineage signal and need for strict transfer tests,Not established in reviewed material,"The analysis retained 438,370 probes after sex, SNP-proximity, and nonunique filtering, then clustered on 8,000 variable probes.",Lineage methylation can inflate pooled HRD prediction when folds mix cancers.,Keep supervised preprocessing inside folds and report cancer-held-out results.
L50,"Transcriptomic and epigenetic profiling of 'diffuse midline gliomas, H3 K27M-mutant' discriminate two subgroups based on the type of histone H3 mutated and not supratentorial or infratentorial location.",2018,Pediatric methylation,https://pubmed.ncbi.nlm.nih.gov/30396367/,../papers/2018_Transcriptomic_and_epigenetic_profiling_of_diffuse_midline_gliomas_H3_K27M_mutan.pdf,"pp. 1,4-5,11",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,DMG/pHGG tumors/cultures,119 expression profiles;131 arrays with replicates;methylation subset distinct,"Methylation,expression,RNA/ChIP-seq models",Not established in reviewed material,"Histone H3 subgroup,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,PCA/tSNE and subgroup analyses,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,PBTP confounding,Not established in reviewed material,H3.1/H3.3 epigenetic differences can persist in cultures; text/figure differ in duplicate count.,Histone subtype and lineage can dominate methylation distances.,Group donor models and assess subtype-specific errors.
L51,Ultra-fast deep-learned CNS tumour classification during surgery.,2023,Pediatric / rapid methylation,https://pubmed.ncbi.nlm.nih.gov/37821699/,../papers/2023_Ultra_fast_deep_learned_CNS_tumour_classification_during_surgery.pdf,pp. 1-3,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,CNS tumors,2801 reference;50 retrospective;25 surgeries,Simulated sparse arrays and nanopore,Not established in reviewed material,"Subtype,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Sturgeon neural network,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,"45/50 retrospective correct,5 abstain;18/25 surgery correct,7 below confidence",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Sparse measurement simulation,Not established in reviewed material,Not established in reviewed material,Robustness,Not established in reviewed material,Sturgeon uses sparse simulation and abstention with real validation.,Millions of masks do not increase independent biological N.,Borrow dropout tests/abstention.
